Remove	STRING	LEN	FREQ	Orth	Orth_F	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C	UN1_F	UN1_C	UN2_F	UN2_C	UN3_F	UN3_C
0	aboup	5	NA	1	2322.72	5201.41	169	2080.75	14.25	1729.34	2.67	193538.21	24099.4	15560.38	1734.75	2259.4	122.67
0	acree	5	NA	3	29.21	11004.79	435	494.62	27.75	253.56	3.33	356778.38	46163.8	22725.67	3119.75	1555.02	227.67
0	acuth	5	NA	1	16.6	6155.62	217.8	624.08	20.25	188.26	2.67	250643.47	26722.4	40270.16	1782	496.74	97.67
0	aftel	5	NA	1	1185.51	7606.6	315.8	1697.31	31.75	991.21	2	312025.75	36158.8	14176.94	2779.5	1834.68	156
0	aften	5	NA	2	827.45	7903.4	315	2091.48	30	1116.02	1.67	335361.49	38067.2	21080.87	3585	2319.62	270
0	aftes	5	NA	2	592.75	9525.44	585.2	2452.9	103.5	1032.1	9	330763.22	40463.2	18953.23	5025	1785.02	412.33
0	agaim	5	NA	1	766.8	5556.96	215.4	768.81	12.5	536.8	2	251143.85	32719	8876.57	1352.5	1120.92	49.67
0	agair	5	NA	1	766.8	7789.99	255	1516.89	13.75	550.72	2.67	279180.01	37641.6	8786.29	1319.25	1528.47	120.33
0	agend	5	NA	2	22.96	9299.68	252.6	731.24	17	67.96	3	288042.2	36424.4	27397.77	3027.25	2486.84	437.67
1	aheat	5	NA	3	45.65	12068.28	271.8	2989.82	27.5	343.93	5.33	384347.93	39571.8	46913.36	3261	2091.71	253.67
1	ahere	5	NA	2	2133.32	14524.83	318.4	4689.04	30.25	2878.67	2.33	382391.4	44117.4	59991.2	5289	9936.12	496.67
1	aimen	5	NA	2	9.85	8923.78	404	1021.31	28	306.67	5.67	319585.97	41476.6	24021.81	2956.75	3212.43	457.67
0	aimit	5	NA	2	44.86	7735.63	284	250.39	18.5	54.46	2.67	297507.98	38326.2	17988.37	2205.5	639.43	154.33
1	alace	5	NA	5	112.56	10467.57	360	1648.74	46.5	579.5	5.33	314305.11	39843.4	19330.92	3308.75	1440.08	238
1	albow	5	NA	2	52.44	3217.06	169.4	306.31	13.5	12.43	1	206713.84	24015.2	13168.39	1868.5	78.83	36
0	alide	5	NA	8	20.78	10107.07	336	459.8	30.75	98.98	7	308988.96	40855.4	20874.4	3842	2246.35	509
0	alips	5	NA	5	2.57	8685.79	531.8	450.35	45.75	70.96	8	239909.79	37343.6	13838.95	2843.75	847.83	395
1	aloff	5	NA	2	3.63	5013.36	211.8	655.89	31	180.84	2.67	212922.87	24055.4	20519.8	2104.25	868.22	72
0	alons	5	NA	4	128.62	9666.73	558.8	1169.17	57.75	362.23	7	285078.16	38860.6	25886.69	4450	2806.93	626.33
0	aloon	5	NA	1	4.05	6446.92	263.2	869	43.5	302.24	5.33	296958	35349	25524.81	3947.75	1199.73	147.67
0	alose	5	NA	3	147.03	10333.56	339.4	2028.63	47.5	721.89	6.67	331991.76	43777.4	20296.82	3105.75	1605	172.33
0	aloto	5	NA	0	0	5982.45	278.4	690.95	37.75	201.48	4.67	318052.04	35215.4	24754.4	2788.25	542.38	127
0	amoke	5	NA	2	32.51	8379.84	285.2	410.05	16.25	208.98	4	272009.6	31698.4	8580.91	1240.5	680.72	90
0	amone	5	NA	3	171.4	10069.35	309.4	715.15	25	336.43	5	323125.97	38461	22517.96	3566.5	3118.93	339.67
0	amony	5	NA	2	155.16	7215.24	303.6	618.4	25.25	210.29	3.67	234818.43	27579.4	17741.24	2538.75	889.28	177
