STRING	LEN	FREQ	Orth	Orth_F	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C	UN1_F	UN1_C	UN2_F	UN2_C	UN3_F	UN3_C
about	5	2322.72	1	0.71	7453.16	215	2604.03	17	2425.72	5	256260.64	28498.4	18470.14	1968.75	4376.81	273.33
above	5	232.68	1	1.61	8560.15	252.2	1654.54	21	1063.51	5	266725.57	30979.6	12622.67	1718.5	2831.95	279
added	5	115.42	2	2.8	8353.41	343.4	1165.52	80.75	147.9	6.33	280460.99	33780.6	19596	3403.25	1124.12	213.67
admit	5	53.07	1	0	5970.5	189.8	215.87	16.25	67.35	3.33	269705.35	32884.6	16015.61	1918.75	526.11	115.33
adult	5	90.19	0	0	8616.11	227	1446.66	14.25	104.75	2.33	245665.21	29823.2	8625.75	1207	647.78	125.33
after	5	1185.51	3	5.81	8994.55	330.8	3384.79	66.75	1702.09	7.67	326597.84	38161	26220.82	4821.75	4506.16	785.67
again	5	766.8	0	0	6698.84	239.2	1090.55	19.25	873.97	5.67	287943.66	37547.8	26036.36	4199.25	2824.18	204
agree	5	62.59	0	0	11086.38	425.6	686.06	26.5	274.02	3	350253.22	44976.6	21241.56	2809	1747.4	206
ahead	5	102.39	0	0	12120.82	283.4	2866.49	27	164.12	5	339192.81	36163.8	39565.78	1841.25	1985.29	249
alive	5	64.85	3	16.04	9859.97	314	625.27	33.25	126.52	5.33	283932.77	37746	21861.46	3544	2824.1	656.67
allow	5	88.53	3	0.85	3561.33	212.2	386.97	17	139.77	4	227461.04	27766	19837	2884.5	4476.53	606.67
alone	5	217.03	3	98.54	10793.17	360.2	1132.13	43.5	493.37	7.67	336590.04	41381.4	28635.97	4620.5	3290.43	276
along	5	294.55	2	256.86	7644.05	262.2	1997.83	44.5	618.19	5.33	249135.49	32025.2	31964.44	5545.5	1855.84	180.67
among	5	296.69	1	294.55	6920.23	211.4	1580.84	26	461.25	2.67	235671.43	29104.8	25846.43	4491.5	1684.34	244.33
anger	5	56.04	2	5.71	8979.24	334	1992.23	59.5	112.48	5.33	303339.62	40059.8	44582.52	6678.75	2135.65	414.67
angry	5	67.76	0	0	5998.44	246.4	443.5	16.75	97.59	2.33	215032.08	29178.2	28567.06	3937.25	873.25	181.67
apart	5	111.31	0	0	8583.86	286.4	1039	31.25	255.05	4	295445.07	35514.8	14588.26	2425.5	2686.85	335.67
areas	5	138.74	2	0.48	10041.98	552.6	1153.76	44	512.07	7.67	358294.72	47493.8	37062.13	4330.75	5889.37	426.67
asked	5	478.92	1	1.67	8283.1	327.4	1322.09	79	538.09	7.67	272868.5	36497.2	21285.99	2940	1367.06	147.67
avoid	5	77.58	1	0.18	7791.46	250	137.31	12.75	77.74	2	243575.4	30080.4	6062.67	765	321.5	59
aware	5	98.46	2	17.82	10000.27	328.4	1924.13	36.75	175.84	6.67	324013.34	38307.6	28186.06	3360.75	3391.58	198
awful	5	52.53	0	0	3440.65	130.2	90.16	3.5	52.53	1	171375.8	20503.6	4394.57	791.5	630.43	148.67
badly	5	53.48	3	8.84	7020.63	422	468.94	43.25	78.63	3.67	172856.92	22414.6	9905.81	1835.5	384.64	91.33
basic	5	103.99	3	34.07	4726.77	320	488.94	39	221.39	5	226775.18	34873.2	17812.42	2610	763.09	133
basis	5	81.98	6	23.74	7481.14	618.6	427.41	38	171.99	5	256192.69	40521.4	21873.91	2871	807.42	147.33
beach	5	62.11	7	25.29	8199.02	358.8	2903.28	66.75	238.23	9.33	266142.72	30195.4	19566.63	2327	1497.37	184.33
began	5	377.18	6	31.12	6050.52	289.4	1084.94	30.75	469.34	6.67	268020.34	34306.8	23387.44	2255	866.63	118.33
begin	5	120.17	4	110.83	6354.44	282	1009.52	29.5	268.59	4.33	252749.47	35608.2	27164.09	4055.75	1044	172
begun	5	65.14	4	124.44	5693.77	258.4	666.38	23	231.51	4.33	215245.26	29626.4	9958	1348.5	429.68	55.33
being	5	850.75	1	181.33	8834.66	339.6	2848.97	51.75	1499.46	9.67	252749.47	35608.2	35803.94	5720.5	10644.48	2388.67
below	5	132.07	0	0	3926.62	283.6	704.6	35.75	177.37	5	234615.01	28333.4	16334.81	1972.5	1294.54	182.33
birds	5	63.72	4	0.49	7833.92	592.4	1021.61	43.75	214.07	7	208953.81	34079	5979.6	1141.75	589.83	124
birth	5	60.68	5	2.14	6942.77	359.2	1218.65	33	251.06	6.33	250304.44	29792.4	37649.17	1519.25	639.8	119
black	5	346.31	5	12.68	6487.72	303.4	1343.6	52.5	594.45	10.33	153179.78	21906.2	10412.52	2390	1725.69	335.33
blood	5	148.31	4	9.71	7121.43	325.4	868.33	39.25	331.37	8	209801.55	25549.6	9323.81	1706.75	1671.39	182.67
board	5	85.43	3	8.37	11589.88	452	1064.52	47.5	217.13	6.33	236104.51	29266	12084.78	1992.75	1223.88	310.67
books	5	156.82	12	13.62	10217.49	646.8	759.59	71.5	262.68	8.67	201483.73	26633	5960.74	1003.25	1259.42	149
bound	5	55.98	7	150.83	11312.56	407.4	3060.47	50.75	945.86	8.33	192093.09	24491.8	27024.62	2462	4227.38	436.67
brain	5	69.55	6	20.33	7445.96	342.6	1188.28	54	481.22	13	256625.59	35823.2	28412.78	5121.5	2469.78	358.67
bread	5	76.98	6	30.17	9094.44	344.6	1289.31	45	509.44	9.33	275736.55	35298.4	25638.01	3138.25	3677.07	420.33
break	5	103.7	6	17.23	7188.57	297.4	1286.47	43.75	526.75	10	248681.26	32077.4	22774	2850.25	2850	364
bring	5	181.33	5	172.34	8406.56	314.2	2784.74	66.25	1143.27	15.33	197072.21	30785.2	35020.91	6782	11538.3	2765
broke	5	69.19	2	4.88	9040.84	382	901.97	44.75	185.26	6.33	236950.39	30363.2	10081.51	1603	827.5	123.33
brown	5	85.73	7	16.74	6190.52	282	1040.53	46.75	347.68	10.67	202273.51	25418.8	10781.92	1477	1881.06	197.67
build	5	71.15	2	67.43	9684.12	375.8	2555.75	34	321.38	4	165217.35	25599	9301.35	1153.75	925.25	64
built	5	129.69	3	37.76	9631.59	364.2	1086.31	35	208.86	4.67	210372.47	29007	7261.69	1181	464.38	61.33
calls	5	52.53	13	13.6	9053.28	666	783.89	82	250.72	21.67	220445.07	34815.6	18063.03	3097.5	4730.84	802.67
carry	5	98.76	5	15.11	7908.6	470.4	1114.6	59	260.18	12	212793.59	30459.2	15078.1	2487.25	1296.94	263
cases	5	110.48	15	5.04	10134.38	769.4	1330.87	125	181.35	13	309431.88	45945.2	28110.56	5312.5	1482.94	391.67
catch	5	72.16	7	28.8	7141.39	350.8	1733.45	56.25	242.12	11.33	250390.33	27552	20078.6	3465	1179.09	435.67
cause	5	125.59	2	13.36	10766.96	440.6	1523.49	48.75	342.92	5.33	280267.51	39467.4	15869.4	2560	2470.44	196.67
chair	5	110.66	2	20.32	11266.38	329.4	1615.6	40.25	162.79	8	258289.97	32931.6	20078.73	1856	1575.37	284.67
check	5	58.01	4	7.63	10432.08	252.8	2860.66	41.25	110.3	5	206081.08	25241.2	38382.46	2337.75	976.99	319
chief	5	105.54	1	6.43	12148.24	408.4	2175.19	40.25	310.93	8.33	256578.01	30951.4	15762.87	2280	1159.2	271
child	5	435.73	2	8.6	13265.18	344.6	4170.47	45.5	750.03	8	200644.38	26789.2	18426.78	1915.25	2182.95	276
china	5	66.22	3	1.29	10414.55	298.4	3131.22	54	689.07	10.67	267053.63	32837.8	33781.11	4952.5	3441.77	558.33
civil	5	66.04	2	3.51	6054.98	282	481.68	18.5	85.65	3.67	187732.51	30878.4	9086.67	1688.5	708.1	116.33
claim	5	74.66	0	0	6069.78	305	1120.25	40.5	174.06	7	215320.84	31399.2	10737.33	1848.75	636.81	145.33
class	5	203.29	8	19.65	9022.54	597	1261.1	50	379.27	10.33	239182.54	39120	15722.48	2623.5	1635.81	337
clean	5	90.85	3	78.85	7615.54	294.6	1310.3	41.75	279.12	7.67	295292.69	39244.8	30252.59	3699.75	2040.52	234
clear	5	234.76	2	46.08	8706.69	310.4	1085.03	40.5	328.08	8	286529.04	39338.6	22425.36	3481.75	3610.52	337
